"Bajić, Isidor","http://imslp.org /wiki/Category:Baji%C4%87,_Isidor"
"Bakalian, Craig","http://imslp.org /wiki/Category:Bakalian,_Craig"
"Baker, Theodore","http://imslp.org /wiki/Category:Baker,_Theodore"
"Bakfark, Bálint","http://imslp.org /wiki/Category:Bakfark,_B%C3%A1lint"
"Balakirev, Mily","http://imslp.org /wiki/Category:Balakirev,_Mily"
"Balart, José","http://imslp.org /wiki/Category:Balart,_Jos%C3%A9"
"Balay, Guillaume","http://imslp.org /wiki/Category:Balay,_Guillaume"
"Balbastre, Claude-Bénigne","http://imslp.org /wiki/Category:Balbastre,_Claude-B%C3%A9nigne"
"Baldenecker, Nicolas","http://imslp.org /wiki/Category:Baldenecker,_Nicolas"
"Baldenecker, Udalrich","http://imslp.org /wiki/Category:Baldenecker,_Udalrich"
"Balfe, Michael William","http://imslp.org /wiki/Category:Balfe,_Michael_William"
"Ball, William","http://imslp.org /wiki/Category:Ball,_William"
"Ballabene, Gregorio","http://imslp.org /wiki/Category:Ballabene,_Gregorio"
"Balladori, Angelo","http://imslp.org /wiki/Category:Balladori,_Angelo"
"Balmer, Charles","http://imslp.org /wiki/Category:Balmer,_Charles"
"Balocchi, Luigi","http://imslp.org /wiki/Category:Balocchi,_Luigi"
"Balorre, Charles de","http://imslp.org /wiki/Category:Balorre,_Charles_de"
"Baltzar, Thomas","http://imslp.org /wiki/Category:Baltzar,_Thomas"
"Banchieri, Adriano","http://imslp.org /wiki/Category:Banchieri,_Adriano"
